"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas","IMCRA 4 Regions","IBRA 7 Regions","Maximum elevation in meters","Minimum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality"
"647615a8-fc9a-4cca-aed6-b3d7a3b7bc5e","K287060","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr717","Australian Museum Cicada Expedition","","","","","CC-BY","AM","","Sydney","-33.9495","150.9504","","-33.9495","150.9504","","","Australia","New South Wales","Liverpool (C)","","Sydney Basin","","","","","","","1998","12","11","1998-12-11","","","PreservedSpecimen","present","","","","true","true"
"62fbb369-d6e9-4bdc-8f32-1356da75f013","HEM845","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata (Fabricius, 1803)","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr342","Museums Victoria provider for OZCAM","in16","Museums Victoria","co39","Museums Victoria Entomology Collection","CC-BY","NMV","Entomology","Brisbane","-27.47","153.02","WGS84","-27.47","153.02","","","Australia","Queensland","","","South Eastern Queensland","","","","","1","J. K.","1958","12","14","1958-12-14","","PreservedSpecimen","PreservedSpecimen","present","Unknown","specimenForm=pinned","","true","true"
"607efdda-fc87-4da2-8d5e-41db771034fa","9177208","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr1411","iNaturalist","","","","","CC-BY-NC-Int","iNaturalist","Observations","","-33.614897461","151.0951071934","","-33.614897461","151.0951071934","","4012.0","Australia","New South Wales","Hornsby (A)","","Sydney Basin","","","","","","Pauline Ly","2017","12","09","2017-12-09","2017/12/09 9:28 AM AEDT","HumanObservation","HumanObservation","present","","","","true","true"
"5e98022c-c9c2-49e2-858c-6d67c26abf91","K287028","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr717","Australian Museum Cicada Expedition","","","","","CC-BY","AM","","Moorebank","-33.933269","150.932844","","-33.933269","150.932844","","","Australia","New South Wales","Liverpool (C)","","Sydney Basin","","","","","","","1998","12","11","1998-12-11","","","PreservedSpecimen","present","","","","true","true"
"5e39c892-5644-4fd6-99ff-ebfc3556da75","9166404","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr1411","iNaturalist","","","","","CC-BY-NC-Int","iNaturalist","Observations","","-34.113218","151.059093","","-34.113218","151.059093","","10.0","Australia","New South Wales","Sutherland Shire (A)","","Sydney Basin","","","","","","jhannan","2017","12","16","2017-12-16","Sat Dec 16 2017 09:20:03 GMT+1100 (GMT+11)","HumanObservation","HumanObservation","present","","","","true","true"
"5ae45a19-17ba-4bc0-a4bc-e54c013b3f34","K287056","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr717","Australian Museum Cicada Expedition","","","","","CC-BY","AM","","Audley","-34.12","151.07","","-34.12","151.07","","","Australia","New South Wales","Sutherland Shire (A)","","Sydney Basin","","","","","","","2003","12","06","2003-12-06","","","PreservedSpecimen","present","","","","true","true"
"5a6c81cc-18c9-4224-9343-e6998104af81","K287020","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr717","Australian Museum Cicada Expedition","","","","","CC-BY","AM","","Ingleburn","-33.9985","150.8661","","-33.9985","150.8661","","","Australia","New South Wales","Campbelltown (C) (ACT)","","Sydney Basin","","","","","","","1978","12","02","1978-12-02","","","PreservedSpecimen","present","","","","true","true"
"58b1c65e-6969-4703-b034-4747ff0a0f8c","K287038","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr717","Australian Museum Cicada Expedition","","","","","CC-BY","AM","","Heathcote Road New South Wales","-33.9333","150.9328","","-33.9333","150.9328","","","Australia","New South Wales","Liverpool (C)","","Sydney Basin","","","","","","","1998","12","11","1998-12-11","","","PreservedSpecimen","present","","","","true","true"
"56c30870-edfc-4163-9fd4-d6f73ffec231","","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata (Double Drummer)","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr364","ALA species sightings and OzAtlas","","","","","CC-BY","","","","-35.316858576685696","150.47199815511703","","-35.316858576685696","150.47199815511703","","","Australia","New South Wales","Shoalhaven (C)","","Sydney Basin","","","","","1","Joel Poyitt","2017","12","15","2017-12-15","","HumanObservation","HumanObservation","unknown","","","","true","true"
"55a0fe36-5f49-4e64-bcd5-d9eb1154617e","19277231","urn:lsid:biodiversity.org.au:afd.taxon:4b9b5bb1-f8b6-4daa-9cc2-17b40c17e266","Thopha saccata","","Thopha saccata","species","Double Drummer","Animalia","Arthropoda","Insecta","Hemiptera","Cicadidae","Thopha","Thopha saccata","","dr1411","iNaturalist","","","","","CC-BY-NC-Int","iNaturalist","Observations","","-34.1033665371","151.05665694","","-34.1033665371","151.05665694","","5.0","Australia","New South Wales","Sutherland Shire (A)","","Sydney Basin","","","","","","jhannan","2018","12","29","2018-12-29","Sat Dec 29 2018 09:42:14 GMT+1100 (GMT+11)","HumanObservation","HumanObservation","present","","","","true","true"
